series,x,y
28,3,1.349
29,3,1.227
30,3,0.987
31,3,0.901
32,3,0.413
33,3,1.260
34,3,1.368
35,3,0.100
36,3,0.486
37,3,0.500
38,3,1.150
39,3,0.946
40,3,0.280
41,3,0.560
42,3,0.821
43,3,0.106
44,3,0.330
45,3,0.962
46,3,0.184
47,3,1.010
48,3,2.094
49,3,0.331
50,3,0.480
51,3,0.037
52,3,0.770
53,3,1.025
54,3,0.788
55,3,0.193
56,3,0.596
57,3,0.217
58,3,1.668
59,3,0.511
60,3,0.629
61,3,0.044
62,3,0.104
63,3,1.335
64,3,0.842
65,3,2.330
66,3,0.971
67,3,0.338
68,3,1.315
69,3,1.706
70,3,0.504
71,3,0.697
72,3,1.419
73,3,0.210
74,3,1.632
75,3,0.167
76,3,0.416
77,3,0.046
78,3,0.704
79,3,0.931
80,3,0.870
81,3,0.755
82,3,0.605
83,3,2.829
84,3,1.638
85,3,1.825
86,3,2.552
87,3,0.411
88,3,0.409
89,3,0.935
90,3,0.461
91,3,0.642
92,3,1.066
93,3,1.308
94,3,0.612
95,3,0.231
96,3,0.501
97,3,0.864
98,3,0.405
99,3,0.789
0,4,0.284
1,4,0.279
2,4,2.094
3,4,1.566
4,4,2.066
5,4,2.068
6,4,2.972
7,4,0.245
8,4,1.499
9,4,0.034
10,4,0.283
11,4,1.010
12,4,1.468
13,4,0.478
14,4,1.024
15,4,1.264
16,4,0.369
17,4,1.957
18,4,1.029
19,4,0.097
20,4,0.010
21,4,0.113
22,4,0.895
23,4,1.471
24,4,0.574
25,4,0.260
26,4,2.359
27,4,1.865
28,4,1.615
29,4,1.677
30,4,1.333
31,4,1.320
32,4,0.344
33,4,0.471
34,4,0.694
35,4,0.284
36,4,0.358
37,4,0.742
38,4,0.644
39,4,1.189
40,4,0.697
41,4,0.072
42,4,0.549
43,4,0.667
44,4,0.172
45,4,0.620
46,4,1.007
47,4,0.421
48,4,1.969
49,4,0.977
50,4,1.080
51,4,0.848
52,4,0.819
53,4,1.629
54,4,1.178
55,4,0.982
56,4,0.355
57,4,0.255
58,4,2.025
59,4,1.402
60,4,0.357
61,4,0.797
62,4,0.649
63,4,1.100
64,4,0.376
65,4,3.062
66,4,1.534
67,4,0.523
68,4,1.458
69,4,1.152
70,4,1.145
71,4,0.843
72,4,2.235
73,4,0.318
74,4,1.658
75,4,0.630
76,4,0.169
77,4,0.711
78,4,0.016
79,4,1.834
80,4,0.263
81,4,1.045
82,4,0.941
83,4,3.711
84,4,1.068
85,4,2.638
86,4,2.871
87,4,0.922
88,4,0.227
89,4,0.197
90,4,1.216
91,4,1.237
92,4,0.862
93,4,0.356
94,4,0.062
95,4,0.365
96,4,1.175
97,4,0.021
98,4,0.499
99,4,0.160
0,5,0.660
1,5,0.221
2,5,2.414
3,5,0.835
4,5,2.090
5,5,2.254
6,5,3.033
7,5,0.338
8,5,0.932
9,5,0.833
10,5,0.532
11,5,1.338
12,5,2.236
13,5,0.813
14,5,0.129
15,5,0.647
16,5,0.453
17,5,2.887
18,5,1.996
19,5,0.373
20,5,0.070
21,5,0.749
22,5,0.656
23,5,2.194
24,5,1.006
25,5,0.110
26,5,2.119
27,5,2.765
28,5,1.428
29,5,2.588
30,5,0.547
31,5,0.532
32,5,0.810
33,5,0.513
34,5,1.541
35,5,0.945
36,5,0.294
37,5,0.808
38,5,1.362
39,5,0.349
40,5,1.616
41,5,0.734
42,5,1.043
43,5,0.741
44,5,0.646
45,5,0.019
46,5,1.931
47,5,0.586
48,5,1.403
49,5,0.593
50,5,1.708
51,5,1.664
52,5,0.062
53,5,0.782
54,5,2.042
55,5,0.128
56,5,0.434
57,5,0.611
58,5,2.134
59,5,0.421
60,5,1.045
61,5,0.325
62,5,0.972
63,5,1.669
64,5,0.873
65,5,2.194
66,5,1.216
67,5,1.459
68,5,2.354
69,5,0.963
70,5,1.493
71,5,1.441
72,5,2.453
73,5,0.588
74,5,0.895
75,5,0.475
76,5,0.290
77,5,0.013
78,5,0.385
79,5,2.814
80,5,0.290
81,5,1.609
82,5,1.834
83,5,2.944
84,5,0.252
85,5,2.972
86,5,3.086
87,5,0.348
88,5,1.159
89,5,0.752
90,5,0.727
91,5,1.713
92,5,0.544
93,5,0.563
94,5,0.086
95,5,0.299
96,5,1.593
97,5,0.341
98,5,0.289
99,5,1.135
0,6,1.486
1,6,0.326
2,6,1.733
3,6,0.092
4,6,2.385
5,6,1.830
6,6,2.646
7,6,0.669
8,6,1.552
9,6,0.033
10,6,1.454
11,6,1.801
12,6,2.536
13,6,0.897
14,6,0.045
15,6,0.277
16,6,0.593
17,6,3.157
18,6,1.343
19,6,0.483
20,6,0.778
21,6,1.158
22,6,0.595
23,6,1.587
24,6,1.658
25,6,0.388
26,6,2.050
27,6,3.188
28,6,1.188
29,6,2.670
30,6,0.089
31,6,1.437
32,6,0.325
33,6,0.700
34,6,2.337
35,6,0.303
36,6,0.741
37,6,0.091
38,6,0.517
39,6,0.742
40,6,0.838
41,6,0.578
42,6,1.209
43,6,0.184
44,6,1.263
45,6,0.668
46,6,1.642
47,6,0.237
48,6,2.003
49,6,1.472
50,6,1.063
51,6,1.726
52,6,0.752
53,6,0.910
54,6,1.541
55,6,0.586
56,6,0.199
57,6,0.791
58,6,1.281
59,6,0.727
60,6,0.652
61,6,0.867
62,6,0.824
63,6,1.992
64,6,0.221
65,6,1.265
66,6,1.246
67,6,0.884
68,6,1.638
69,6,0.871
70,6,1.929
71,6,1.784
72,6,2.081
73,6,1.113
74,6,0.835
75,6,0.971
76,6,0.034
77,6,0.968
78,6,0.249
79,6,2.030
80,6,0.876
81,6,0.671
82,6,2.153
83,6,2.732
84,6,1.101
85,6,3.278
86,6,2.258
87,6,0.253
88,6,0.780
89,6,0.013
90,6,0.955
91,6,1.505
92,6,0.392
93,6,0.729
94,6,1.070
95,6,1.273
96,6,1.529
97,6,0.227
98,6,0.168
99,6,0.503
0,7,0.583
1,7,0.443
2,7,1.972
3,7,0.375
4,7,1.401
5,7,1.138
6,7,3.418
7,7,1.666
8,7,1.117
9,7,0.923
10,7,1.127
11,7,2.065
12,7,2.250
13,7,1.049
14,7,0.464
15,7,0.110
16,7,0.490
17,7,2.792
18,7,2.002
19,7,0.527
20,7,1.102
21,7,0.739
22,7,0.228
23,7,2.569
24,7,1.070
25,7,0.491
26,7,1.298
27,7,2.589
28,7,1.244
29,7,2.267
30,7,0.576
31,7,1.817
32,7,0.490
33,7,0.986
34,7,3.101
35,7,0.545
36,7,0.797
37,7,0.538
38,7,0.560
39,7,0.875
40,7,0.119
41,7,0.549
42,7,1.933
43,7,1.115
44,7,1.189
45,7,0.115
46,7,2.399
47,7,0.171
48,7,1.153
49,7,1.862
50,7,1.273
51,7,1.437
52,7,0.067
53,7,0.931
54,7,2.217
55,7,0.310
56,7,0.392
57,7,0.330
58,7,2.268
59,7,0.203
60,7,0.163
61,7,1.029
62,7,1.440
63,7,1.034
64,7,0.106
65,7,0.333
66,7,2.017
67,7,1.008
68,7,1.282
69,7,1.285
70,7,1.829
71,7,1.760
72,7,2.477
73,7,0.227
74,7,0.854
75,7,0.797
76,7,0.678
77,7,1.149
78,7,0.571
79,7,2.698
80,7,0.903
81,7,1.012
82,7,1.942
83,7,1.989
84,7,1.713
85,7,3.597
86,7,2.085
87,7,0.006
88,7,1.410
89,7,0.607
90,7,0.211
91,7,0.664
92,7,1.207
93,7,0.469
94,7,0.299
95,7,1.111
96,7,0.904
97,7,0.975
98,7,0.644
99,7,0.740
0,8,0.319
1,8,0.116
2,8,1.284
3,8,0.565
4,8,1.670
5,8,1.023
6,8,2.968
7,8,2.513
8,8,0.271
9,8,0.935
10,8,0.670
11,8,2.664
12,8,1.575
13,8,0.159
14,8,0.006
15,8,0.615
16,8,0.888
17,8,2.664
18,8,2.479
19,8,0.911
20,8,0.156
21,8,1.503
22,8,0.379
23,8,2.217
24,8,0.571
25,8,0.453
26,8,1.073
27,8,2.547
28,8,0.576
29,8,2.871
30,8,1.386
31,8,1.449
32,8,0.431
33,8,1.835
34,8,4.015
35,8,0.909
36,8,1.069
37,8,1.358
38,8,0.163
39,8,0.721
40,8,1.104
41,8,0.252
42,8,2.212
43,8,0.879
44,8,1.955
45,8,0.788
46,8,2.004
47,8,0.201
48,8,1.568
49,8,1.844
50,8,0.358
51,8,2.051
52,8,0.477
53,8,0.282
54,8,3.090
55,8,1.206
56,8,0.436
57,8,0.828
58,8,1.549
59,8,0.622
60,8,0.666
61,8,0.043
62,8,1.387
63,8,1.144
64,8,0.076
65,8,1.071
66,8,1.426
67,8,0.176
68,8,1.183
69,8,1.962
70,8,2.591
71,8,0.838
72,8,1.626
73,8,0.659
74,8,0.583
75,8,1.796
76,8,0.292
77,8,1.715
78,8,0.351
79,8,3.626
80,8,1.589
81,8,0.318
82,8,2.252
83,8,1.437
84,8,1.557
85,8,3.277
86,8,1.195
87,8,0.670
88,8,2.396
89,8,1.398
90,8,1.041
91,8,1.004
92,8,1.627
93,8,1.292
94,8,0.649
95,8,0.289
96,8,1.335
97,8,0.324
98,8,0.137
99,8,1.008
0,9,1.135
1,9,0.070
2,9,1.440
3,9,1.030
4,9,1.528
5,9,0.281
6,9,3.671
7,9,3.133
8,9,0.000
9,9,0.714
10,9,1.464
11,9,2.787
12,9,1.433
13,9,0.532
14,9,0.379
15,9,1.231
16,9,1.126
17,9,2.236
18,9,2.026
19,9,1.419
20,9,0.578
21,9,2.481
22,9,0.518
23,9,2.105
24,9,0.394
25,9,0.032
26,9,1.058
27,9,2.413
28,9,0.330
29,9,2.489
30,9,2.112
31,9,0.720
32,9,1.392
33,9,2.803
34,9,4.303
35,9,0.668
36,9,1.855
37,9,2.114
38,9,0.306
39,9,0.160
40,9,1.715
41,9,0.594
42,9,2.398
43,9,1.644
44,9,2.397
45,9,1.087
46,9,1.975
47,9,0.553
48,9,1.449
49,9,2.510
50,9,0.601
51,9,2.547
52,9,0.931
53,9,0.278
54,9,3.852
55,9,0.219
56,9,0.489
57,9,1.184
58,9,2.138
59,9,0.239
60,9,0.596
61,9,0.894
62,9,0.544
63,9,0.552
64,9,0.455
65,9,1.276
66,9,0.920
67,9,0.329
68,9,0.485
69,9,2.383
70,9,3.377
71,9,0.346
72,9,2.301
73,9,0.557
74,9,0.394
75,9,0.861
76,9,0.582
77,9,2.196
78,9,0.068
79,9,4.564
80,9,0.778
81,9,1.233
82,9,2.363
83,9,1.665
84,9,2.439
85,9,4.073
86,9,1.109
87,9,0.216
88,9,1.922
89,9,2.383
90,9,1.264
91,9,1.050
92,9,1.069
93,9,0.949
94,9,0.448
95,9,0.443
96,9,0.759
97,9,0.821
98,9,0.023
99,9,1.944
0,10,0.724
1,10,0.317
2,10,1.141
3,10,0.670
4,10,1.628
5,10,0.708
6,10,4.127
7,10,3.304
8,10,0.416
9,10,1.451
10,10,1.060
11,10,3.058
12,10,1.419
13,10,1.106
14,10,0.098
15,10,0.881
16,10,0.287
17,10,2.677
18,10,2.133
19,10,1.130
20,10,0.161
21,10,3.346
22,10,0.373
23,10,1.547
24,10,0.279
25,10,0.948
26,10,1.795
27,10,3.179
28,10,0.152
29,10,1.679
30,10,1.262
31,10,1.110
32,10,2.138
33,10,3.251
34,10,4.442
35,10,0.271
36,10,1.717
37,10,1.486
38,10,0.624
39,10,1.151
40,10,2.454
41,10,1.495
42,10,2.120
43,10,0.812
44,10,2.135
45,10,0.659
46,10,1.019
47,10,1.545
48,10,1.013
49,10,2.872
50,10,0.933
51,10,2.408
52,10,0.462
53,10,0.470
54,10,3.458
55,10,0.380
56,10,0.095
57,10,1.674
58,10,1.881
59,10,0.697
60,10,0.981
61,10,1.199
62,10,0.804
63,10,1.095
64,10,0.771
65,10,2.149
66,10,1.905
67,10,0.677
68,10,0.481
69,10,2.067
70,10,2.426
71,10,0.073
72,10,3.208
73,10,1.404
74,10,0.928
75,10,1.597
76,10,0.446
77,10,1.944
78,10,0.166
79,10,4.408
80,10,0.145
81,10,1.482
82,10,1.950
83,10,2.599
84,10,2.414
85,10,3.129
86,10,2.002
87,10,0.222
88,10,1.023
89,10,1.890
90,10,1.506
91,10,1.154
92,10,1.732
93,10,1.253
94,10,0.706
95,10,0.318
96,10,0.272
97,10,1.665
98,10,0.493
99,10,1.918
